IdComunidad;IdProvincia;IdMunicipio;IdEntidadMenor;Nombre;Hoja;Cuadricula;Huso;X;Y
1;1;0;0;NO DETERMINADA;;;;;
1;1;1;1;ALEGRÍA-DULANTZI;;;;;
1;1;1;2;EGUILETA;;;;;
1;1;2;1;AMURRIO;;;;;
1;1;2;2;ARTOMAÑA;;;;;
1;1;2;3;ASTOBIZA;;;;;
1;1;2;4;BARANBIO;;;;;
1;1;2;5;DELIKA;;;;;
1;1;2;6;LARRINBE;;;;;
1;1;2;7;LEKAMAÑA;;;;;
1;1;2;8;LEZAMA;;;;;
1;1;2;9;ONSOÑO;;;;;
1;1;2;10;SARATXO;;;;;
1;1;2;11;TERTANGA;;;;;
1;1;2;12;ALORIA;;;;;
1;1;3;1;AREXOLA;;;;;
1;1;3;2;AZKOAGA;;;;;
1;1;3;3;BARAJUEN;;;;;
1;1;3;4;ETXAGUEN;;;;;
1;1;3;5;GANTZAGA;;;;;
1;1;3;6;IBARRA;;;;;
1;1;3;7;OLAETA;;;;;
1;1;3;8;UNTZILLA;;;;;
1;1;3;9;URIBARRI;;;;;
1;1;3;10;GUREIA;;;;;
1;1;4;1;ARTZINIEGA;;;;;
1;1;4;2;CAMPIJO;;;;;
1;1;4;3;GORDÉLIZ;;;;;
1;1;4;4;MENDIETA;;;;;
1;1;4;5;RETES DE TUDELA;;;;;
1;1;4;6;SANTA COLOMA;;;;;
1;1;4;7;SOJOGUTI;;;;;
1;1;6;1;ARMIÑON;;;;;
1;1;6;2;ESTAVILLO;;;;;
1;1;6;3;LACORZANA;;;;;
1;1;8;1;ARROIABE;;;;;
1;1;8;2;ARZUBIAGA;;;;;
1;1;8;3;AZUA;;;;;
1;1;8;4;BETOLAZA;;;;;
1;1;8;5;ZIRIANO;;;;;
1;1;8;6;DURANA;;;;;
1;1;8;7;LANDA;;;;;
1;1;8;8;LUKO;;;;;
1;1;8;9;MENDIBIL;;;;;
1;1;8;10;NANCLARES GAMBOA;;;;;
1;1;8;11;URIBARRI GANBOA;;;;;
1;1;8;12;ZURBANO;;;;;
1;1;8;93;SAN MARTIN;;;;;
1;1;9;1;ALBENIZ;;;;;
1;1;9;2;AMETZAGA;;;;;
1;1;9;3;ANDOIN;;;;;
1;1;9;4;ARAIA;;;;;
