IdMotivacion;IdIdioma;Descripcion;IdCodigoEuropa;DescripcionEuropa
400;0;Motivación desconocida;ES_499;Other purposes
400;1;Motivació desconeguda;ES_499;Other purposes
400;2;Motibazio ezezaguna;ES_499;Other purposes
400;3;Motivación descoñecida;ES_499;Other purposes
400;4;Motivació desconeguda;ES_499;Other purposes
400;5;Motivació desconeguda;ES_499;Other purposes
401;0;Incendios causados por quemas realizadas en  el desempeño de prácticas agrícolas que se dejan arder incontroladamente y pasan al monte o bien directamente son iniciados en terreno forestal.;ES_401;Uncontrolled agricultural fires, started by farmers to eliminate bushes and agricultural derbies, spreaded into the forest
401;1;Incendis causats per cremes realitzades en lexercici de pràctiques agrícoles que es deixen cremar incontroladament i passen a la muntanya o bé directament són iniciats en terreny forestal.;ES_401;Uncontrolled agricultural fires, started by farmers to eliminate bushes and agricultural derbies, spreaded into the forest
401;2;Nekazaritza-praktiken errendimenduan erretzea eragiten duten suteak kontrolik gabe geratzen dira eta basora joaten dira edo basoko lurretan zuzenean abiarazten dira.;ES_401;Uncontrolled agricultural fires, started by farmers to eliminate bushes and agricultural derbies, spreaded into the forest
401;3;Os incendios provocados pola queima no desempeño das prácticas agrícolas que se deixan incendios incontroláveis ??e van ao bosque ou se inician directamente en terreos forestais.;ES_401;Uncontrolled agricultural fires, started by farmers to eliminate bushes and agricultural derbies, spreaded into the forest
401;4;Incendis causats per cremes realitzades en lexercici de pràctiques agrícoles que es deixen cremar incontroladament i passen a la muntanya o bé directament són iniciats en terreny forestal.;ES_401;Uncontrolled agricultural fires, started by farmers to eliminate bushes and agricultural derbies, spreaded into the forest
401;5;Incendis causats per cremes realitzades en lexercici de pràctiques agrícoles que es deixen cremar incontroladament i passen a la muntanya o bé directament són iniciats en terreny forestal.;ES_401;Uncontrolled agricultural fires, started by farmers to eliminate bushes and agricultural derbies, spreaded into the forest
402;0;Incendios causados por quemas realizadas en  el desempeño de prácticas ganaderas que se dejan arder incontroladamente y pasan al monte o bien directamente son iniciados en terreno forestal.;ES_402;Fires started by shepheds and livestock farmers to facilitate pasture regeneration and/or pasture growth
402;1;Incendis causats per cremes realitzades en l´exercici de pràctiques ramaderes que es deixen cremar incontroladament i passen a la muntanya o bé directament són iniciats en terreny forestal.;ES_402;Fires started by shepheds and livestock farmers to facilitate pasture regeneration and/or pasture growth
402;2;Abereen praktiketan egindako erretzearen ondorioz erretzea eragiten duten suteak kontrolik gabe geratzen dira eta basora joaten dira edo basoko lurretan zuzenean abiarazten dira.;ES_402;Fires started by shepheds and livestock farmers to facilitate pasture regeneration and/or pasture growth
402;3;Os incendios provocados pola queima realizada no desempeño das prácticas gandeiras que se deixan incendios incontroláveis ??e van ao bosque ou se inician directamente en terreos forestais.;ES_402;Fires started by shepheds and livestock farmers to facilitate pasture regeneration and/or pasture growth
402;4;Incendis causats per cremes realitzades en l´exercici de pràctiques ramaderes que es deixen cremar incontroladament i passen a la muntanya o bé directament són iniciats en terreny forestal.;ES_402;Fires started by shepheds and livestock farmers to facilitate pasture regeneration and/or pasture growth
402;5;Incendis causats per cremes realitzades en l´exercici de pràctiques ramaderes que es deixen cremar incontroladament i passen a la muntanya o bé directament són iniciats en terreny forestal.;ES_402;Fires started by shepheds and livestock farmers to facilitate pasture regeneration and/or pasture growth
403;0;Incendios provocados en terrenos forestales  para control de animales (conejos, lobos, jabalíes, plagas etc.) que causan daños en los cultivos , ganados aprovechamientos forestales, etc;ES_404;Fires started to frighten away animals (wolfs, wild boars,etc) harmful to crops or livestock
403;1;Incendis provocats en terrenys forestals per a control danimals (conills, llops, senglars, plagues etc.) que causen danys en els cultius, bestiars aprofitaments forestals, etc.;ES_404;Fires started to frighten away animals (wolfs, wild boars,etc) harmful to crops or livestock
403;2;Basoko lurretan animaliak (azenarioak, otsoak, basurdea, izurriteak ...) kontrolatzen dituzten suteak laboreak, abeltzaintza, baso ustiapena, etab.;ES_404;Fires started to frighten away animals (wolfs, wild boars,etc) harmful to crops or livestock
403;3;Incendios causados nas terras forestais para controlar animais (coellos, lobos, xabarín, pragas, etc.) que causan danos nos cultivos, gando, explotación forestal, etc.;ES_404;Fires started to frighten away animals (wolfs, wild boars,etc) harmful to crops or livestock
403;4;Incendis provocats en terrenys forestals per a control danimals (conills, llops, senglars, plagues etc.) que causen danys en els cultius, bestiars aprofitaments forestals, etc.;ES_404;Fires started to frighten away animals (wolfs, wild boars,etc) harmful to crops or livestock
403;5;Incendis provocats en terrenys forestals per a control danimals (conills, llops, senglars, plagues etc.) que causen danys en els cultius, bestiars aprofitaments forestals, etc.;ES_404;Fires started to frighten away animals (wolfs, wild boars,etc) harmful to crops or livestock
404;0;Incendios provocados para eliminar vegetación de montes en explotaciones forestales (castañares, robledales, choperas, etc);ES_499;Other purposes
404;1;Incendis provocats per eliminar vegetació de muntanyes en explotacions forestals (castañares, robledales, choperas, etc);ES_499;Other purposes
404;2;Incendios probokatuak basoetako mendien landaredia (castañares, robledales, choperas, eta abar) kentzeko.;ES_499;Other purposes
404;3;Incendios provocados para eliminar vegetación de montes en explotacións forestais (castañares, robledales, choperas, etc);ES_499;Other purposes
404;4;Incendis provocats per eliminar vegetació de muntanyes en explotacions forestals (castañares, robledales, choperas, etc);ES_499;Other purposes
404;5;Incendis provocats per eliminar vegetació de muntanyes en explotacions forestals (castañares, robledales, choperas, etc);ES_499;Other purposes
405;0;Incendios provocados para mantener libre de vegetación el monte, bajo un concepto tradicional del paisaje, sin pretender otro beneficio;ES_424;Fires caused to keep the forest free of vegetation, under a traditional concept of landscape, without claiming another benefit.
405;1;Incendis provocats per mantenir lliure de vegetació la muntanya, sota un concepte tradicional del paisatge, sense pretendre un altre benefici;ES_424;Fires caused to keep the forest free of vegetation, under a traditional concept of landscape, without claiming another benefit.
405;2;Basoak landaretza libre uzteko sortutako suteak, paisaiaren kontzeptu tradizionalaren pean, beste onura itxurak egin gabe;ES_424;Fires caused to keep the forest free of vegetation, under a traditional concept of landscape, without claiming another benefit.
405;3;Incendios que fixeron que o bosque estivese libre de vexetación, baixo un concepto tradicional da paisaxe, sen pretender outro beneficio;ES_424;Fires caused to keep the forest free of vegetation, under a traditional concept of landscape, without claiming another benefit.
405;4;Incendis provocats per mantenir lliure de vegetació la muntanya, sota un concepte tradicional del paisatge, sense pretendre un altre benefici;ES_424;Fires caused to keep the forest free of vegetation, under a traditional concept of landscape, without claiming another benefit.
405;5;Incendis provocats per mantenir lliure de vegetació la muntanya, sota un concepte tradicional del paisatge, sense pretendre un altre benefici;ES_424;Fires caused to keep the forest free of vegetation, under a traditional concept of landscape, without claiming another benefit.
411;0;Incendios provocados para facilitar o favorecer la caza;ES_405;Fires caused by hunters to make hunting easier
411;1;Incendis provocats per facilitar o afavorir la caça;ES_405;Fires caused by hunters to make hunting easier
411;2;Ehiza errazteko edo alde egiteko sortutako suteak;ES_405;Fires caused by hunters to make hunting easier
411;3;Incendios causados para facilitar ou favorecer a caza;ES_405;Fires caused by hunters to make hunting easier
411;4;Incendis provocats per facilitar o afavorir la caça;ES_405;Fires caused by hunters to make hunting easier
411;5;Incendis provocats per facilitar o afavorir la caça;ES_405;Fires caused by hunters to make hunting easier
412;0;Incendios provocados por conflictos cinegéticos;ES_406;Fires started against hunting limitation
412;1;Incendis provocats per conflictes cinegètics;ES_406;Fires started against hunting limitation
412;2;Ihesaldien aurkako cinegéticos gatazkatsuak;ES_406;Fires started against hunting limitation
412;3;Os incendios provocados por conflictos cinegéticos;ES_406;Fires started against hunting limitation
412;4;Incendis provocats per conflictes cinegètics;ES_406;Fires started against hunting limitation
412;5;Incendis provocats per conflictes cinegètics;ES_406;Fires started against hunting limitation
421;0;Incendios provocados para facilitar el ejercicio de la pesca;ES_499;Other purposes
421;1;Incendis provocats per facilitar lexercici de la pesca;ES_499;Other purposes
421;2;Arrantza ariketa errazteko eragindako suteak;ES_499;Other purposes
421;3;Incendios provocados para facilitar o exercicio da pesca;ES_499;Other purposes
421;4;Incendis provocats per facilitar lexercici de la pesca;ES_499;Other purposes
421;5;Incendis provocats per facilitar lexercici de la pesca;ES_499;Other purposes
431;0;Incendios provocados por disensiones o disputas en cuanto a la titularidad de los montes públicos o privados;ES_407;Fires started due to dissents or  contestations on the public or private ownership of forests
431;1;Incendis provocats per dissensions o disputes pel que fa a la titularitat de les muntanyes públiques o privades;ES_407;Fires started due to dissents or  contestations on the public or private ownership of forests
431;2;Baso publiko edo pribatuen jabegoaren inguruko eztabaidak edo desadostasunak eragindako suteak;ES_407;Fires started due to dissents or  contestations on the public or private ownership of forests
431;3;Incendios provocados por disensións ou disputas relativas á propiedade dos bosques públicos ou privados;ES_407;Fires started due to dissents or  contestations on the public or private ownership of forests
431;4;Incendis provocats per dissensions o disputes pel que fa a la titularitat de les muntanyes públiques o privades;ES_407;Fires started due to dissents or  contestations on the public or private ownership of forests
431;5;Incendis provocats per dissensions o disputes pel que fa a la titularitat de les muntanyes públiques o privades;ES_407;Fires started due to dissents or  contestations on the public or private ownership of forests
432;0;Incendios provocados para obtener la modificación del uso del suelo;ES_412;Fires started to force land-use changes
432;1;Incendis provocats per obtenir la modificació de l´ús del sòl;ES_412;Fires started to force land-use changes
432;2;Lurzoruaren erabilera aldatzeko eragindako suteak;ES_412;Fires started to force land-use changes
432;3;Incendios provocados para obter a modificación do uso do terreo;ES_412;Fires started to force land-use changes
432;4;Incendis provocats per obtenir la modificació de l´ús del sòl;ES_412;Fires started to force land-use changes
432;5;Incendis provocats per obtenir la modificació de l´ús del sòl;ES_412;Fires started to force land-use changes
433;0;Incendios provocados para modificar la linde de la propiedad;ES_499;Other purposes
433;1;Incendis provocats per modificar el límit de la propietat;ES_499;Other purposes
433;2;Propietatearen muga aldatzeko sortutako suteak;ES_499;Other purposes
433;3;Incendios provocados para modificar a fronteira da propiedade;ES_499;Other purposes
433;4;Incendis provocats per modificar el límit de la propietat;ES_499;Other purposes
433;5;Incendis provocats per modificar el límit de la propietat;ES_499;Other purposes
434;0;Incendios provocados para eliminar vegetación forestal en lindes;ES_425;Fires caused to eliminate forest vegetation in border
434;1;Incendis provocats per eliminar vegetació forestal a límits;ES_425;Fires caused to eliminate forest vegetation in border
434;2;Basoetako landaredia ezabatzeko mugak sortutako suteak;ES_425;Fires caused to eliminate forest vegetation in border
434;3;Incendios que provocaron a eliminación da vexetación forestal nos límites;ES_425;Fires caused to eliminate forest vegetation in border
434;4;Incendis provocats per eliminar vegetació forestal a límits;ES_425;Fires caused to eliminate forest vegetation in border
434;5;Incendis provocats per eliminar vegetació forestal a límits;ES_425;Fires caused to eliminate forest vegetation in border
441;0;Incendios provocados para hacer modificar el precio de la madera;ES_411;Fires started to reduce the price of wood
441;1;Incendis provocats per fer modificar el preu de la fusta;ES_411;Fires started to reduce the price of wood
441;2;Egurraren prezioa aldatu egin zuten suteak;ES_411;Fires started to reduce the price of wood
